"","date","state","value","level"
"1",2020-01-21,"Alabama",0,"0"
"2",2020-01-22,"Alabama",0,"0"
"3",2020-01-23,"Alabama",0,"0"
"4",2020-01-24,"Alabama",0,"0"
"5",2020-01-25,"Alabama",0,"0"
"6",2020-01-26,"Alabama",0,"0"
"7",2020-01-27,"Alabama",0,"0"
"8",2020-01-28,"Alabama",0,"0"
"9",2020-01-29,"Alabama",0,"0"
"10",2020-01-30,"Alabama",0,"0"
"11",2020-01-31,"Alabama",0,"0"
"12",2020-02-01,"Alabama",0,"0"
"13",2020-02-02,"Alabama",0,"0"
"14",2020-02-03,"Alabama",0,"0"
"15",2020-02-04,"Alabama",0,"0"
"16",2020-02-05,"Alabama",0,"0"
"17",2020-02-06,"Alabama",0,"0"
"18",2020-02-07,"Alabama",0,"0"
"19",2020-02-08,"Alabama",0,"0"
"20",2020-02-09,"Alabama",0,"0"
"21",2020-02-10,"Alabama",0,"0"
"22",2020-02-11,"Alabama",0,"0"
"23",2020-02-12,"Alabama",0,"0"
"24",2020-02-13,"Alabama",0,"0"
"25",2020-02-14,"Alabama",0,"0"
"26",2020-02-15,"Alabama",0,"0"
"27",2020-02-16,"Alabama",0,"0"
"28",2020-02-17,"Alabama",0,"0"
"29",2020-02-18,"Alabama",0,"0"
"30",2020-02-19,"Alabama",0,"0"
"31",2020-02-20,"Alabama",0,"0"
"32",2020-02-21,"Alabama",0,"0"
"33",2020-02-22,"Alabama",0,"0"
"34",2020-02-23,"Alabama",0,"0"
"35",2020-02-24,"Alabama",0,"0"
"36",2020-02-25,"Alabama",0,"0"
"37",2020-02-26,"Alabama",0,"0"
"38",2020-02-27,"Alabama",0,"0"
"39",2020-02-28,"Alabama",0,"0"
"40",2020-02-29,"Alabama",0,"0"
"41",2020-03-01,"Alabama",0,"0"
"42",2020-03-02,"Alabama",0,"0"
"43",2020-03-03,"Alabama",0,"0"
"44",2020-03-04,"Alabama",0,"0"
"45",2020-03-05,"Alabama",0,"0"
"46",2020-03-06,"Alabama",0,"0"
"47",2020-03-07,"Alabama",0,"0"
"48",2020-03-08,"Alabama",0,"0"
"49",2020-03-09,"Alabama",0,"0"
"50",2020-03-10,"Alabama",0,"0"
"51",2020-03-11,"Alabama",0,"0"
"52",2020-03-12,"Alabama",0,"0"
"53",2020-03-13,"Alabama",1,"1"
"54",2020-03-14,"Alabama",4,"2"
"55",2020-03-15,"Alabama",4,"2"
"56",2020-03-16,"Alabama",4,"2"
"57",2020-03-17,"Alabama",6,"2"
"58",2020-03-18,"Alabama",6,"2"
"59",2020-03-19,"Alabama",6,"2"
"60",2020-03-20,"Alabama",6,"2"
"61",2020-03-21,"Alabama",6,"2"
"62",2020-03-22,"Alabama",6,"2"
"63",2020-03-23,"Alabama",6,"2"
"64",2020-03-24,"Alabama",6,"2"
"65",2020-03-25,"Alabama",6,"2"
"66",2020-03-26,"Alabama",6,"2"
"67",2020-03-27,"Alabama",6,"2"
"68",2020-03-28,"Alabama",6,"2"
"69",2020-03-29,"Alabama",6,"2"
"70",2020-03-30,"Alabama",6,"2"
"71",2020-03-31,"Alabama",6,"2"
"72",2020-04-01,"Alabama",6,"2"
"73",2020-04-02,"Alabama",6,"2"
"74",2020-04-03,"Alabama",6,"2"
"75",2020-04-04,"Alabama",8,"3"
"76",2020-04-05,"Alabama",8,"3"
"77",2020-04-06,"Alabama",8,"3"
"78",2020-04-07,"Alabama",8,"3"
"79",2020-04-08,"Alabama",8,"3"
"80",2020-04-09,"Alabama",8,"3"
"81",2020-04-10,"Alabama",8,"3"
"82",2020-04-11,"Alabama",8,"3"
"83",2020-04-12,"Alabama",8,"3"
"84",2020-04-13,"Alabama",8,"3"
"85",2020-04-14,"Alabama",8,"3"
"86",2020-04-15,"Alabama",8,"3"
"87",2020-04-16,"Alabama",8,"3"
"88",2020-04-17,"Alabama",8,"3"
"89",2020-04-18,"Alabama",8,"3"
"90",2020-04-19,"Alabama",8,"3"
"91",2020-04-20,"Alabama",8,"3"
"92",2020-04-21,"Alabama",8,"3"
