"","county_state","pop","rural","urban","popden","land"
"1","Alabama Autauga County",54571,22921,31650,35.4453287620917,1539582278
"2","Alabama Baldwin County",182265,77060,105205,44.2657057374216,4117521611
"3","Alabama Barbour County",27457,18613,8844,11.9804401583956,2291818968
"4","Alabama Bibb County",22915,15663,7252,14.2110220204304,1612480789
"5","Alabama Blount County",57322,51562,5760,34.3253349340725,1669961855
"6","Alabama Bullock County",10914,5607,5307,6.76603532471162,1613056905
"7","Alabama Butler County",20947,14921,6026,10.4111533598954,2011976894
"8","Alabama Calhoun County",118572,39955,78617,75.5625516207806,1569189995
"9","Alabama Chambers County",34215,16816,17399,22.1454980229692,1545009282
"10","Alabama Cherokee County",25989,22282,3707,18.1224711032599,1434075952
"11","Alabama Chilton County",43643,37858,5785,24.3206459732979,1794483586
"12","Alabama Choctaw County",13859,13859,0,5.8576775450652,2365954748
"13","Alabama Clarke County",25833,19628,6205,8.05366117560256,3207609488
"14","Alabama Clay County",13932,13932,0,8.90649173290641,1564252280
"15","Alabama Cleburne County",14972,14972,0,10.3208709489884,1450652767
"16","Alabama Coffee County",49948,23573,26375,28.4032882473384,1758528786
"17","Alabama Colbert County",54428,23891,30537,35.4608142486654,1534877333
"18","Alabama Conecuh County",13228,10708,2520,6.00755321563689,2201894769
"19","Alabama Coosa County",11539,11539,0,6.84445167965552,1685891075
"20","Alabama Covington County",37765,26304,11461,14.1501860354165,2668869505
"21","Alabama Crenshaw County",13906,13906,0,8.81863515169637,1576888006
"22","Alabama Cullman County",80406,58889,21517,42.2471642555145,1903228333
"23","Alabama Dale County",50251,25572,24679,34.5754763041579,1453371157
"24","Alabama Dallas County",43820,19999,23821,17.2873095770599,2534807386
"25","Alabama DeKalb County",71109,64091,7018,35.3308142729568,2012662359
"26","Alabama Elmore County",79303,42973,36330,49.5065886509885,1601867593
"27","Alabama Escambia County",38319,24337,13982,15.6548046283079,2447746932
"28","Alabama Etowah County",104430,39144,65286,75.3670384515529,1385618994
"29","Alabama Fayette County",17241,13833,3408,10.6057238949763,1625631609
"30","Alabama Franklin County",31704,22309,9395,19.3130100505327,1641587713
